intersection_id,intersection_number,lat,lon,in_range
9890,1,39.65592484,140.23983307,0
9893,4,39.65450757,140.21815428,0
9894,5,39.65451583,140.21059043,0
9895,6,39.66638829,140.16826694,0
9897,8,39.67600336,140.13452227,0
9901,12,39.68911752,140.12375992,0
9905,16,39.70009935,140.11225555,0
9906,17,39.70129105,140.1095877,0
9907,19,39.67060985,140.08243914,0
9908,20,39.67687571,140.08342168,0
9910,22,39.68076722,140.08527703,0
9914,26,39.68860784,140.08976969,0
9915,27,39.69359078,140.09351044,0
9916,28,39.7013821,140.10280753,0
9917,29,39.70334829,140.10504384,1
9919,31,39.70783918,140.09436706,0
9920,32,39.70965296,140.09195493,0
9922,34,39.71337597,140.08807817,0
9923,35,39.71856957,140.08727322,0
9925,37,39.72997795,140.08010362,0
9933,45,39.7478728,140.06735665,0
9934,46,39.74975045,140.06703898,0
9935,47,39.75408313,140.06696845,0
9936,48,39.75759955,140.06760018,0
9938,50,39.76519869,140.06810122,0
9939,51,39.77427277,140.06918389,0
9940,52,39.77889725,140.06822071,0
9942,54,39.80796926,140.05574195,0
9944,59,39.70548981,140.10575586,1
9946,61,39.70936328,140.10765985,1
9947,62,39.71263908,140.10804219,1
9948,63,39.71417226,140.10853356,1
9949,64,39.7157971,140.10849335,1
9950,65,39.71937174,140.10826248,1
9952,67,39.72182144,140.10864345,0
9953,68,39.72500444,140.10788104,0
9954,69,39.72792065,140.10538346,0
9957,72,39.73667779,140.09794103,0
9960,75,39.74625135,140.08487198,0
9962,77,39.74750932,140.07969655,0
9965,80,39.74974209,140.06805196,0
9967,82,39.71877986,140.09297737,0
9970,85,39.71911161,140.10119433,0
9973,88,39.71805575,140.11530858,1
9974,89,39.71783073,140.11646196,1
9975,90,39.71741266,140.11823551,1
9976,91,39.71658079,140.11793132,1
9977,92,39.71618133,140.12214402,0
9979,94,39.71598129,140.12525312,0
9980,95,39.71601459,140.1282519,0
9981,96,39.71749785,140.12793091,0
9982,97,39.71768957,140.12545367,0
9984,99,39.71844728,140.11862326,1
9985,101,39.68913503,140.14853277,0
9987,103,39.71036628,140.1490837,0
9988,104,39.71293214,140.14888273,0
9991,107,39.725402,140.14789429,0
9992,108,39.72615616,140.14783912,0
9993,110,39.72553057,140.14564233,0
9994,111,39.72324707,140.13264426,0
9995,112,39.7227721,140.12656647,0
9997,114,39.70711097,140.11338347,1
10000,117,39.71468927,140.11709895,1
10002,197,39.72541806,140.08668516,0
10009,204,39.74256045,140.09235431,0
10010,205,39.67805203,140.1266287,0
10013,210,39.70076311,140.14944009,0
10015,215,39.71777164,140.14850408,0
10017,221,39.85335601,140.06272061,0
10020,226,39.76984756,140.05075947,0
10021,230,39.82087579,140.05487874,0
13414,2,39.65536653,140.23778706,0
13415,3,39.65279124,140.22475374,0
13416,7,39.66363609,140.1788466,0
13417,9,39.67629436,140.12868493,0
13418,10,39.68023525,140.12595669,0
13419,11,39.68381844,140.12570591,0
13422,15,39.69820498,140.11641615,0
13426,25,39.68822453,140.08954905,0
13427,30,39.70468563,140.10202991,0
13428,33,39.71124276,140.08986348,0
13429,36,39.72380004,140.08772657,0
13430,38,39.73316105,140.0789351,0
13431,39,39.73613122,140.0768286,0
13432,40,39.73765195,140.07487781,0
13433,41,39.73994356,140.07180373,0
13434,42,39.74122216,140.07066009,0
13435,43,39.7428637,140.06954675,0
13436,44,39.74442193,140.0685638,0
13437,49,39.760366,140.06781069,0
13438,53,39.78796305,140.06487025,0
13440,60,39.70664806,140.10613693,1
13441,66,39.7205549,140.10843289,1
13444,73,39.73867746,140.09621581,0
13445,74,39.74170216,140.09360802,0
13446,76,39.74685939,140.08235442,0
13447,78,39.74860927,140.07432069,0
13449,81,39.77383871,140.04592486,0
13450,83,39.71887563,140.09530415,0
13451,84,39.71901377,140.09893523,0
13452,86,39.71923579,140.10425076,1
13453,87,39.71867249,140.11221451,1
13454,93,39.71608964,140.12354813,0
13455,98,39.71807299,140.1219334,0
13456,102,39.70343312,140.1495752,0
13457,105,39.71501543,140.14872224,0
13458,106,39.72085623,140.14826039,0
13459,113,39.7044402,140.11128231,1
13460,186,39.71818057,140.12101026,0
13461,198,39.78400526,140.06580338,0
13463,201,39.79712063,140.06156993,0
13466,206,39.71832226,140.11963623,0
13467,209,39.68584338,140.12508407,0
13468,213,39.70768301,140.14929434,0
13469,217,39.7262811,140.14995527,0
13470,223,39.69419741,140.14900411,0
13471,231,39.82230902,140.0549088,0
14396,115,39.71011495,140.11579548,1
14397,222,39.85562266,140.06704348,0
