step,active,departed,arrived
10,61,61,0
20,108,108,0
30,160,160,0
40,203,203,0
50,244,247,3
60,294,299,5
70,339,346,7
80,373,382,9
90,397,408,11
100,430,448,18
110,459,485,26
120,494,527,33
130,537,574,37
140,555,605,50
150,589,645,56
160,617,681,64
170,634,712,78
180,652,738,86
190,677,776,99
200,699,806,107
210,718,835,117
220,735,866,131
230,741,888,147
240,760,920,160
250,775,952,177
260,791,980,189
270,791,1003,212
280,813,1045,232
290,821,1075,254
300,835,1111,276
310,849,1139,290
320,853,1168,315
330,862,1196,334
340,880,1235,355
350,885,1261,376
360,883,1278,395
370,899,1317,418
380,914,1349,435
390,922,1377,455
400,924,1400,476
410,925,1422,497
420,935,1450,515
430,939,1477,538
440,951,1502,551
450,945,1517,572
460,959,1556,597
470,964,1581,617
480,974,1607,633
490,968,1632,664
500,974,1655,681
510,977,1678,701
520,985,1705,720
530,977,1725,748
540,965,1739,774
550,974,1770,796
560,986,1797,811
570,977,1816,839
580,977,1833,856
590,980,1852,872
600,980,1876,896
610,973,1896,923
620,976,1919,943
630,978,1939,961
640,987,1964,977
650,989,1983,994
660,993,2003,1010
670,1001,2025,1024
680,1008,2047,1039
690,1014,2069,1055
700,1021,2095,1074
710,1026,2119,1093
720,1034,2140,1106
730,1037,2161,1124
740,1042,2183,1141
750,1045,2205,1160
760,1043,2225,1182
770,1039,2244,1205
780,1046,2266,1220
790,1054,2285,1231
800,1052,2303,1251
810,1050,2314,1264
820,1062,2341,1279
830,1065,2363,1298
840,1069,2382,1313
850,1066,2398,1332
860,1066,2412,1346
870,1068,2431,1363
880,1066,2447,1381
890,1071,2464,1393
900,1065,2477,1412
910,1075,2503,1428
920,1080,2522,1442
930,1082,2536,1454
940,1086,2553,1467
950,1096,2565,1469
960,1101,2579,1478
970,1106,2594,1488
980,1090,2599,1509
990,1079,2605,1526
1000,1095,2629,1534
1010,1094,2641,1547
1020,1094,2657,1563
1030,1096,2679,1583
1040,1108,2703,1595
1050,1106,2722,1616
1060,1098,2733,1635
1070,1091,2739,1648
1080,1090,2749,1659
1090,1102,2777,1675
1100,1107,2797,1690
1110,1107,2810,1703
1120,1117,2829,1712
1130,1126,2853,1727
1140,1132,2870,1738
1150,1133,2884,1751
1160,1130,2893,1763
1170,1128,2896,1768
1180,1142,2918,1776
1190,1147,2930,1783
1200,1153,2945,1792
1210,1162,2965,1803
1220,1168,2978,1810
1230,1173,2993,1820
1240,1176,3003,1827
1250,1178,3010,1832
1260,1178,3020,1842
1270,1189,3045,1856
1280,1193,3066,1873
1290,1195,3080,1885
1300,1198,3098,1900
1310,1205,3114,1909
1320,1208,3125,1917
1330,1205,3133,1928
1340,1198,3138,1940
1350,1195,3145,1950
1360,1201,3164,1963
1370,1205,3182,1977
1380,1217,3207,1990
1390,1232,3233,2001
1400,1236,3252,2016
1410,1235,3266,2031
1420,1223,3271,2048
